Region,BeginDate,Income ($)
Vanuatu,1930,20900
Martinique,1930,9300
Yemen,1940,5400
Togo,1940,11600
Angola,1940,9300
South Sudan,1920,34400
Peru,1940,34400
South Sudan,1920,24100
Moldova,1910,9300
Curaçao,1880,12400
Kazakhstan,1930,6500
World,1730-2010,9000
Belarus,1900,3100
World,1730-2010,6500
World,1730-2010,9300
Iraq,1920,9300
Aland Islands,1920,11600
World,1730-2010,24100
World,1730-2010,43100
South Sudan,1920,9300
World,1730-2010,11600
Saint-Martin (French part),1940,20900
Algeria,1880,9300
Svalbard And Jan Mayen Islands,1920,9300
Puerto Rico,1920,11600
Slovakia,1940,5400
World,1730-2010,11600
World,1730-2010,20900
Mauritania,1890,5400
Slovakia,1890,12400
Tajikistan,1930,25800
Czech Republic,1920,9300
Saint Lucia,1930,9300
French Southern Territories,1880,9300
San Marino,1880,5400
World,1730-2010,25800
Tuvalu,1910,22200
World,1730-2010,12400
Barbados,1930,20900
Martinique,1930,34400
Macau S.A.R.,1930,9000
Saint-Barthelemy,1930,9300
Benin,1920,34700
Rwanda,1920,9300
Tunisia,1930,17200
Mongolia,1940,9000
Bulgaria,1910,9300
World,1730-2010,34400
Fiji Islands,1900,9300
Anguilla,1900,22200
World,1730-2010,11600
Slovenia,1930,17200
Germany,1900,22200
Brazil,1930,17200
Kenya,1910,22200
Belize,1860,17200
Iceland,1940,11600
Congo,1890,11600
Sudan,1930,12400
Argentina,1950,12400
World,1730-2010,9300
Kazakhstan,1910,3100
World,1730-2010,22200
Suriname,1910,34400
Ukraine,1910,11600
Tanzania,1920,11600
Afghanistan,1940,22200
Anguilla,1910,9300
World,1730-2010,25800
Ireland,1920,43100
World,1730-2010,17200
Jordan,1940,3100
Cameroon,1910,20900
World,1730-2010,20900
Liechtenstein,1930,6500
World,1730-2010,20900
Niger,1920,12400
Brunei,1900,6500
Yemen,1900,6500
Germany,1900,11600
Virgin Islands (US),1920,9300
Korea North,1940,12400
Haiti,1940,6500
Costa Rica,1930,9300
World,1730-2010,42800
